model,n,mae,mse,rmse,r2,bias,split,horizon
seasonal_naive_24h,364,3.952188431547619,45.887633005060344,6.7740411133281695,0.7574563729602118,-0.024212650869963378,cv_2021,23
seasonal_naive_24h,364,3.8905263888507324,43.82276807768141,6.619876741879822,0.7449699500879514,-0.018151666094322366,cv_2021,24
seasonal_naive_24h,364,10.251814035714286,561.469295972775,23.69534333941534,0.4395925848246416,-0.03193842032967037,cv_2022,1
seasonal_naive_24h,364,9.640914032165751,537.8762248637627,23.19215869348437,0.4198843185585478,-0.030787198603480097,cv_2022,2
seasonal_naive_24h,364,9.289742446199634,540.23376688849,23.24292939559233,0.3945633903919328,-0.030514762591574998,cv_2022,3
seasonal_naive_24h,364,10.025873129464287,681.0151322227647,26.09626663380731,0.34872927110407814,-0.03502201339285718,cv_2022,4
seasonal_naive_24h,364,11.832424955586081,719.7540818894848,26.828232925213037,0.3685659737729716,-0.0412495389194137,cv_2022,5
seasonal_naive_24h,364,16.946533572916664,999.758568296933,31.61895900084209,0.29777259618663965,-0.0471438721382782,cv_2022,6
seasonal_naive_24h,364,22.385529069368133,1675.669309186207,40.93493995581534,0.25192839336476935,-0.07901634821428531,cv_2022,7
seasonal_naive_24h,364,22.60011220318224,1777.5737101920931,42.161282122251606,0.28470611215529296,-0.08267115945512803,cv_2022,8
seasonal_naive_24h,364,17.05490584249084,821.4705196619155,28.66130701245,0.4702974403518535,-0.07963033333333357,cv_2022,9
seasonal_naive_24h,364,16.337720426854396,731.436789108202,27.045088077286824,0.4985986995403444,-0.06613675995879126,cv_2022,10
seasonal_naive_24h,364,17.054838214056776,663.0620355752991,25.749990982043062,0.5990371055594279,-0.050815769001831684,cv_2022,11
seasonal_naive_24h,364,18.17857852529762,799.9488393093383,28.28336683121969,0.6167568089723787,-0.04256322309981698,cv_2022,12
seasonal_naive_24h,364,21.02822320467033,1278.5010355789757,35.75613283870301,0.5678377097045435,-0.04220120467033033,cv_2022,13
seasonal_naive_24h,364,22.386497667010072,1431.5529834247986,37.8358690058098,0.6220379356440158,-0.0427997054716118,cv_2022,14
seasonal_naive_24h,364,23.222209684294874,1568.5797196775713,39.605299136322294,0.6693769857750245,-0.0432761952838832,cv_2022,15
seasonal_naive_24h,364,24.90920281146978,1753.530665930028,41.875179592809246,0.7060077188650515,-0.045226789491758485,cv_2022,16
seasonal_naive_24h,364,26.521485405677655,1964.2210637149976,44.31953365859119,0.6697684002348923,-0.06907181776556724,cv_2022,17
seasonal_naive_24h,364,27.069991387248166,2001.9778252915419,44.74346684479804,0.5399075121991255,-0.08524315098443178,cv_2022,18
seasonal_naive_24h,364,24.10492748145605,1557.5563907167987,39.465888951305764,0.4579196127821824,-0.0856509045329675,cv_2022,19
seasonal_naive_24h,364,20.151132789949635,1064.2236861737413,32.62244145023087,0.5154083262264608,-0.08681019104853477,cv_2022,20
seasonal_naive_24h,364,16.741667809981685,822.7231633514089,28.683151210273408,0.5168832786943658,-0.06563034844322368,cv_2022,21
seasonal_naive_24h,364,15.778185206387361,1033.8920558434775,32.15419188602751,0.32288080348173187,-0.05249025583791209,cv_2022,22
seasonal_naive_24h,364,12.845835111034798,683.5124214536997,26.144070483643127,0.39026269871712727,-0.05033155059523817,cv_2022,23
seasonal_naive_24h,364,11.222606784913003,525.6596476208738,22.927268647199863,0.43493568989411846,-0.0386334277701464,cv_2022,24
seasonal_naive_168h,365,2.733280183561644,15.525521623680696,3.9402438533269355,-0.03261142215480173,-0.12155069863013702,cv_2020,1
seasonal_naive_168h,365,2.7927369174657533,16.70000959686762,4.08656452253817,-0.03364929473353695,-0.12010424349315064,cv_2020,2
seasonal_naive_168h,365,2.7803325828767127,15.60908721361581,3.9508337365188897,0.0017794061666631666,-0.12389913630136991,cv_2020,3
seasonal_naive_168h,365,2.8313598044520547,16.46289509703779,4.057449333884255,-0.02176021554960972,-0.13110934965753424,cv_2020,4
seasonal_naive_168h,365,2.92002551369863,18.835379904961993,4.3399746433547275,-0.0008901200409148213,-0.13112683972602734,cv_2020,5
seasonal_naive_168h,365,3.735608765410958,29.886073117464274,5.46681562863284,0.07112742562115726,-0.14250880924657533,cv_2020,6
seasonal_naive_168h,365,4.968091781506849,63.88870852904666,7.993041256558524,0.08793162590966852,-0.16776127739726024,cv_2020,7
seasonal_naive_168h,365,5.852598959246576,119.3302255929918,10.923837493893425,-0.015757484992038995,-0.20765545239726013,cv_2020,8
seasonal_naive_168h,365,3.882015153424658,35.97909650781183,5.998257789376164,0.0435278733233011,-0.19116730136986299,cv_2020,9
seasonal_naive_168h,365,3.597517035273973,26.19490260565094,5.118095603410603,-0.015131154996804508,-0.160166975,cv_2020,10
seasonal_naive_168h,365,3.6359350513698625,22.713205110824862,4.765837293784259,0.046753933289383376,-0.12459913356164384,cv_2020,11
seasonal_naive_168h,365,3.9416934811643833,29.1418054424632,5.398315055872823,0.08591816045698386,-0.09227834143835616,cv_2020,12
seasonal_naive_168h,365,4.698840809589041,50.8616494233257,7.1317353724970545,0.029747406751288286,-0.07781318767123284,cv_2020,13
seasonal_naive_168h,365,5.633824464041095,81.66365492565703,9.036794505003256,0.02131171828509426,-0.07134826678082197,cv_2020,14
seasonal_naive_168h,365,6.496366113013698,139.16170171266887,11.79668180941865,-0.032435250758979794,-0.06718843082191772,cv_2020,15
seasonal_naive_168h,365,7.205291008561643,148.04473092134688,12.167363351250216,0.16701105522543358,-0.07260609349315063,cv_2020,16
seasonal_naive_168h,365,7.048599709589041,140.1647340754333,11.839118804853396,0.10449841989267206,-0.10292006575342459,cv_2020,17
seasonal_naive_168h,365,5.966270175,83.68874051338484,9.148155033305068,-0.01934240605345483,-0.23121405445205484,cv_2020,18
seasonal_naive_168h,365,4.572613007534247,38.849981691768576,6.232975348240083,-0.03950529610815101,-0.18422266232876708,cv_2020,19
seasonal_naive_168h,365,3.9256935469178083,27.003037235066206,5.196444672568563,-0.20821811731366746,-0.1685171852739726,cv_2020,20
seasonal_naive_168h,365,3.34692065890411,20.982708794934243,4.580688681293921,-0.0984610756221378,-0.15231488904109589,cv_2020,21
