year_eastern,hour_eastern,mean_lmp,p95_lmp,mean_load_mw,mean_temp_c,mean_cdd
2019,17,39.32806494565217,57.09534895,16010.477967391304,29.382789855072463,11.083695652173912
2019,18,34.14005328260869,45.7498467,15686.210673913043,28.705253623188405,10.405253623188406
2019,19,30.98630627173913,38.70356465,15119.059326086957,27.802934782608695,9.503840579710143
2019,20,29.695640902173913,36.862916500000004,14590.025989130436,26.552173913043475,8.254166666666665
2019,21,27.051494173913042,32.7831399,13929.870402173914,25.246811594202896,6.950615942028985
2019,22,23.239894423913043,27.979956950000002,12869.340673913042,24.33405797101449,6.052355072463768
2019,23,20.739447608695652,24.1500141,11793.091532608696,23.704891304347825,5.463043478260869
2020,0,16.01295195652174,19.1451033,11358.574467391305,23.79076086956522,5.594021739130435
2020,1,14.775189999999998,17.800896,10731.631467391304,23.326521739130435,5.159492753623188
2020,2,13.749689608695652,16.65540145,10306.579326086956,23.00336956521739,4.849746376811594
2020,3,12.989148782608696,15.82504525,10045.463695652174,22.658985507246374,4.52927536231884
2020,4,12.865502358695652,15.57728095,9985.08652173913,22.33268115942029,4.237210144927536
2020,5,13.404402608695653,16.4895576,10154.213554347825,22.073152173913044,4.008478260869565
2020,6,14.081861173913044,17.9013587,10464.976282608695,21.826702898550725,3.8033333333333323
2020,7,15.590792119565219,19.46372455,11016.939902173914,22.192572463768116,4.091304347826086
2020,8,17.243663815217392,20.54684105,11792.063847826088,23.410869565217393,5.2286231884057965
2020,9,19.897633467391305,23.66544215,12649.286054347827,24.864673913043475,6.6375
2020,10,22.323762163043476,28.39973315,13524.298967391303,26.261413043478257,8.00090579710145
2020,11,24.81510335869565,31.71715265,14366.790445652174,27.472101449275364,9.190579710144927
2020,12,27.67347631521739,37.46483245,15093.401358695653,28.49909420289855,10.207971014492752
2020,13,30.33440270652174,44.874805200000004,15632.890304347826,29.26413043478261,10.97373188405797
2020,14,33.47263989130435,53.183833150000005,15969.2165,29.636775362318843,11.349456521739128
2020,15,36.5405165,60.62159445,16174.078543478261,29.879166666666666,11.590942028985506
2020,16,41.547102717391304,67.7372243,16312.89622826087,29.933152173913044,11.64782608695652
2020,17,41.290425445652176,66.26624040000003,16306.845989130436,29.703804347826086,11.416485507246376
2020,18,32.42033193478261,44.01765650000001,16021.275043478261,29.03586956521739,10.74855072463768
2020,19,27.377133989130435,34.662981550000005,15437.65025,28.198913043478264,9.913586956521739
2020,20,25.265582217391305,31.445678850000004,14863.106880434783,26.885253623188405,8.605
2020,21,22.895241173913043,27.2904498,14223.453826086958,25.647355072463764,7.373804347826087
2020,22,20.32544720652174,24.293997,13241.467489130435,24.85840579710145,6.59445652173913
2020,23,18.13278647826087,20.68040025,12225.352532608695,24.312355072463767,6.066521739130434
2021,0,28.128591195652174,36.3626347,11983.45518478261,23.424601449275364,5.234746376811593
2021,1,25.801216804347824,32.99972275,11369.802804347826,22.97217391304348,4.832862318840579
2021,2,24.131963826086956,30.0788431,10943.994597826088,22.545362318840578,4.449891304347825
2021,3,23.14245011956522,28.3768646,10688.919945652175,22.1825,4.129420289855071
2021,4,22.969208586956523,27.998120800000002,10648.399413043478,21.85442028985507,3.8404710144927527
2021,5,23.767297184782606,29.8488131,10875.512771739131,21.601268115942027,3.6288043478260867
2021,6,25.055413434782608,33.1506216,11288.148576086956,21.37518115942029,3.4559782608695646
2021,7,26.822953793478263,35.5118812,11823.33302173913,21.722355072463767,3.6707608695652167
2021,8,29.002891608695652,37.848921250000004,12515.787967391305,23.011413043478257,4.790760869565217
2021,9,32.41911998913044,42.32078415,13294.00775,24.50634057971014,6.217753623188406
2021,10,36.61281073913044,48.69917815000001,14121.035565217393,26.018659420289854,7.718659420289854
2021,11,41.35274820652174,55.31840355,14914.720749999999,27.252717391304348,8.952717391304347
2021,12,45.447159956521745,63.91743135,15606.302239130437,28.277608695652173,9.978514492753623
2021,13,50.28072120652173,71.07524719999999,16148.058206521739,29.02608695652174,10.726086956521739
2021,14,55.73733892391305,89.60268065,16523.71210869565,29.505072463768116,11.205072463768115
2021,15,61.775547554347824,105.28019605000003,16757.45508695652,29.798188405797102,11.4981884057971
2021,16,67.91301796739131,116.4082671,16889.311369565217,29.731340579710146,11.431340579710144
2021,17,67.29521115217392,108.72706885000001,16862.79672826087,29.363949275362316,11.063949275362317
2021,18,57.364718152173914,86.5588331,16597.935630434782,28.83405797101449,10.53405797101449
2021,19,49.126501391304345,65.13849235,16083.565010869565,27.984963768115943,9.684963768115942
2021,20,45.164273434782615,56.67118535,15549.269619565217,26.77952898550725,8.479528985507246
2021,21,40.060531608695655,50.40369895,14881.80570652174,25.437681159420286,7.137681159420289
2021,22,34.644409217391306,43.976008650000004,13893.756043478263,24.661594202898552,6.382971014492752
2021,23,30.455421554347826,39.13641955,12872.214902173913,24.018840579710144,5.760144927536231
2022,0,71.45398518478261,96.24015070000002,12485.19297826087,23.096521739130434,4.8508695652173905
2022,1,64.06258933695652,84.49189945,11874.382402173915,22.646630434782605,4.450978260869564
2022,2,57.39042592391304,73.86987740000001,11458.64685869565,22.221811594202897,4.074202898550724
2022,3,53.89261011956521,69.37133055000001,11206.649836956522,21.8568115942029,3.7579347826086953
2022,4,53.32345147826087,67.49419005000001,11170.271695652174,21.58065217391304,3.5417753623188397
2022,5,57.39780429347826,77.25208520000001,11399.259630434783,21.337427536231882,3.3460507246376805
2022,6,63.96142297826087,89.031019,11805.910152173912,21.13,3.190688405797101
2022,7,67.74119460869565,93.3099871,12357.293934782607,21.496630434782606,3.4343115942028977
2022,8,73.45350760869566,101.2170129,13039.625380434782,22.919601449275365,4.669601449275361
2022,9,83.87053921739131,121.34696355000001,13812.034065217393,24.456340579710144,6.163586956521739
2022,10,96.38012964130435,142.27693115000002,14628.738826086957,25.91177536231884,7.612681159420289
2022,11,111.6258600652174,163.8816764,15397.60777173913,27.212028985507246,8.912028985507247
2022,12,122.66284344565217,191.01307740000004,16081.793717391305,28.171920289855073,9.87192028985507
2022,13,137.32224891304347,220.41023520000005,16611.19091304348,28.830615942028984,10.530615942028986
2022,14,147.18181948913042,263.3634852,16979.589173913042,29.237934782608693,10.937934782608695
2022,15,159.1463932173913,288.55488700000006,17230.26306521739,29.37278985507246,11.072789855072463
2022,16,175.26758391304347,305.22059865000006,17379.264304347827,29.26942028985507,10.969420289855071
2022,17,176.1200105,305.8795035,17376.617673913046,28.951811594202898,10.651811594202897
2022,18,155.15685486956522,248.32765125,17087.253804347827,28.42264492753623,10.122644927536232
2022,19,136.3584573152174,209.5028457,16560.694423913046,27.599094202898552,9.29909420289855
2022,20,123.95516191304347,188.72091715000002,15994.175869565217,26.342934782608694,8.042934782608695
2022,21,111.2874595,157.14442565,15305.242532608696,25.012137681159423,6.712681159420289
2022,22,92.33466277173912,124.7762723,14318.333282608695,24.218224637681157,5.925652173913043
2022,23,79.02396293478262,106.43000525000001,13313.581619565219,23.54800724637681,5.2726449275362315
2023,0,22.965118434782607,30.121845,12899.333032608696,22.83764492753623,4.711557971014492
